chr	cM	mk	mk.chr	start	stop
1	0	1.01	1	1	500000
1	1.033242029	1.02	1	500001	1000000
1	3.619233138	1.03	1	1000001	1500000
1	5.513670974	1.04	1	1500001	2000000
1	8.584081331	1.05	1	2000001	2500000
1	10.70457525	1.06	1	2500001	3000000
1	13.34630709	1.07	1	3000001	3500000
1	15.42822366	1.08	1	3500001	4000000
1	17.52476078	1.09	1	4000001	4500000
1	19.45908429	1.1	1	4500001	5000000
1	20.96230877	1.11	1	5000001	5500000
1	21.76359175	1.12	1	5500001	6000000
1	24.0997497	1.13	1	6000001	6500000
1	24.6441558	1.14	1	6500001	7000000
1	25.7222345	1.15	1	7000001	7500000
1	27.76360952	1.16	1	7500001	8000000
1	29.4608095	1.17	1	8000001	8500000
1	31.00526028	1.18	1	8500001	9000000
1	32.1561431	1.19	1	9000001	9500000
1	32.39750964	1.2	1	9500001	10000000
1	32.39750974	1.21	1	10000001	10500000
1	32.39750984	1.22	1	10500001	11000000
1	33.26770998	1.23	1	11000001	11500000
1	33.60640872	1.24	1	11500001	12000000
1	33.86591122	1.25	1	12000001	12500000
1	34.47361799	1.26	1	12500001	13000000
1	34.47361809	1.27	1	13000001	13500000
1	34.63296939	1.28	1	13500001	14000000
1	34.63296949	1.29	1	14000001	14500000
1	34.63296959	1.3	1	14500001	15000000
1	35.59264701	1.31	1	15000001	15500000
1	35.59264711	1.32	1	15500001	16000000
1	35.75203869	1.33	1	16000001	16500000
1	35.75203937	1.34	1	16500001	17000000
1	35.75203947	1.35	1	17000001	17500000
1	35.75203957	1.36	1	17500001	18000000
1	35.91139342	1.37	1	18000001	18500000
1	35.91139352	1.38	1	18500001	19000000
1	35.91139362	1.39	1	19000001	20000000
1	35.91139372	1.4	1	20000001	21000000
1	35.91139382	1.41	1	21000001	22000000
1	35.91139392	1.42	1	22000001	23000000
1	35.91139402	1.43	1	23000001	24000000
1	35.91139412	1.44	1	24000001	25000000
1	35.91139422	1.45	1	25000001	26000000
1	35.91139432	1.46	1	26000001	27000000
1	35.91139442	1.47	1	27000001	28000000
1	35.91139452	1.48	1	28000001	29000000
1	35.91139462	1.49	1	29000001	30000000
1	35.91139472	1.5	1	30000001	31000000
1	35.91139482	1.51	1	31000001	31500000
1	35.91139492	1.52	1	31500001	32000000
1	35.91139502	1.53	1	32000001	32500000
1	35.91139512	1.54	1	32500001	33000000
1	35.91139522	1.55	1	33000001	33500000
1	35.91139532	7.028	7	13100001	13150000
1	36.39026046	1.56	1	33500001	34000000
1	36.70908922	1.57	1	34000001	34500000
1	36.70908932	1.58	1	34500001	35000000
1	36.86848033	1.59	1	35000001	35500000
1	36.86848436	1.6	1	35500001	36000000
1	36.86848446	1.61	1	36000001	36500000
1	37.52239443	1.62	1	36500001	37000000
1	38.0649507	1.63	1	37000001	37500000
1	38.62499778	1.64	1	37500001	38000000
1	39.37413467	1.65	1	38000001	38500000
1	41.38707971	1.66	1	38500001	39000000
1	41.89994693	1.67	1	39000001	39500000
1	42.83429836	1.68	1	39500001	40000000
1	46.09738913	1.69	1	40000001	40500000
1	47.30037613	1.7	1	40500001	41000000
1	51.1738319	1.71	1	41000001	41500000
1	52.09364149	1.72	1	41500001	42000000
1	54.30983409	1.73	1	42000001	42500000
1	56.92090562	1.74	1	42500001	43000000
1	59.75303956	1.75	1	43000001	43500000
1	63.38663542	1.76	1	43500001	44000000
1	64.11036934	1.77	1	44000001	44842349
2	0.00	2.01	2	1	500000
2	1.02	2.02	2	500001	1000000
2	3.66	2.03	2	1000001	1500000
2	6.89	2.04	2	1500001	2000000
2	8.39	2.05	2	2000001	2500000
2	10.76	2.06	2	2500001	3000000
2	13.38	2.07	2	3000001	3500000
2	14.30	2.08	2	3500001	4000000
2	16.42	2.09	2	4000001	4500000
2	16.42	2.1	2	4500001	5000000
2	18.45	2.11	2	5000001	5500000
2	19.51	2.12	2	5500001	6000000
2	19.51	2.13	2	6000001	6500000
2	20.24	2.14	2	6500001	7000000
2	21.15	2.15	2	7000001	7500000
2	21.70	2.16	2	7500001	8000000
2	22.43	2.17	2	8000001	8500000
2	22.43	2.18	2	8500001	8900000
2	22.43	2.19	2	9000001	9500000
2	22.43	2.2	2	9500001	10000000
2	22.43	2.21	2	10000001	10500000
2	22.43	2.23	2	11000001	11500000
2	22.43	2.24	2	11500001	12000000
2	22.43	2.25	2	12000001	12500000
2	22.43	2.26	2	12500001	13000000
2	22.43	2.22	2	10500001	11000000
2	22.59	2.27	2	13000001	13500000
2	22.59	2.28	2	13500001	14000000
2	22.59	2.29	2	14000001	14500000
2	22.59	2.3	2	14500001	15000000
2	22.59	2.31	2	15000001	15500000
2	22.59	2.32	2	15500001	16000000
2	22.59	2.33	2	16000001	17000000
2	22.59	2.34	2	17000001	18000000
2	22.59	2.35	2	18000001	19000000
2	22.59	2.36	2	19000001	20000000
2	22.59	2.37	2	20000001	21000000
2	22.59	2.38	2	21000001	22000000
2	22.59	2.39	2	22000001	23000000
2	22.59	2.4	2	23000001	24000000
2	22.59	2.41	2	24000001	25000000
2	22.59	2.42	2	25000001	26000000
2	22.59	2.43	2	26000001	27000000
2	22.59	2.44	2	27000001	28000000
2	22.75	2.45	2	28000001	29000000
2	23.01	2.46	2	29000001	30000000
2	23.54	2.47	2	30000001	31000000
2	24.08	2.48	2	31000001	32000000
2	25.14	2.49	2	32000001	33000000
2	25.14	5.16	5	7400001	7700000
2	25.62	2.5	2	33000001	34000000
2	27.06	2.51	2	34000001	35000000
2	28.29	2.52	2	35000001	35500000
2	29.55	2.53	2	35500001	36000000
2	31.60	2.54	2	36000001	36500000
2	33.22	2.55	2	36500001	37000000
2	36.01	2.56	2	37000001	37500000
2	38.84	2.57	2	37500001	38000000
2	39.66	2.58	2	38000001	38500000
2	40.74	2.59	2	38500001	39000000
2	43.66	2.6	2	39000001	39500000
2	44.54	2.61	2	39500001	40000000
2	49.43	2.62	2	40000001	40500000
2	52.58	2.63	2	40500001	41000000
2	55.18	2.64	2	41000001	41500000
2	58.58	2.65	2	41500001	42000000
2	60.59	2.66	2	42000001	42500000
2	62.40	2.67	2	42500001	43181631
3	0	3.007	3	600001	700000
3	0.0000001	3.006	3	500001	600000
3	0.639217789	3.005	3	400001	500000
3	0.958132309	3.004	3	300001	400000
3	1.117226408	3.003	3	200001	300000
3	1.65592097	3.002	3	100001	200000
3	2.55653613	3.001	3	1	100000
3	2.875102554	3.008	3	700001	800000
3	3.448799972	3.009	3	800001	900000
3	4.31385819	3.01	3	900001	1000000
3	5.096090869	3.011	3	1000001	1500000
