MK,,5A10,5A11,5A12,5A5,5A6,5A7,5A8,5A9,5B1,5B10,5B12,5B2,5B3,5B4,5B5,5B6,5B7,5B8,5C1,5C11,5C12,5C2,5C5,5C7,5C8,5D1,5D10,5D11,5D3,5D4,5D5,5D6,5D8,5.00E+01,5.00E+10,5.00E+11,5.00E+12,5.00E+02,5.00E+03,5.00E+04,5.00E+05,5.00E+06,5.00E+07,5.00E+08,5.00E+09,5F1,5F10,5F11,5F12,5F4,5F5,5F6,5F7,5F8,5G10,5G11,5G2,5G3,5G4,5G5,5G6,5G7,5G8,5G9,5H1,5H11,5H12,5H2,5H3,5H4,5H6,5H7,5H8,5H9,6A10,6A11,6A12,6A2,6A3,6A5,6A7,6A8,6A9,6B1,6B10,6B12,6B3,6B4,6B5,6B6,6B7,6B8,6B9,6C1,6C10,6C11,6C12,6C2,6C3,6C4,6C5,6C6,6C7,6C8,6C9,6D1,6D10,6D11,6D12,6D2,6D4,6D5,6D6,6D7,6D8,6D9,6.00E+11,6F1,6F10,6F11,6F12,6F13,6F2,6F3,6F4,6F5,6F7,6F8,6F9,6G1,6G11,6G12,6G13,6G2,6G3,6G4,6G5,6G7,6G8,6G9,6H1,6H12,6H2,6H3,6H4,6H5,6H6,6H7,6H8,6H9,7A1,7A10,7A11,7A12,7A2,7A5,7A6,7A7,7A8,7A9,7B10,7B11,7B12,7B2,7B3,7B4,7B5,7B7,7B9,7C1,7C11,7C12,7C13,7C2,7C3,7C5,7C7,7C8,7C9,7D1,7D10,7D12,7D2,7D3,7D4,7D5,7D6,7D7,7D8,7D9,7.00E+01,7.00E+10,7.00E+02,7.00E+03,7.00E+04,7.00E+05,7.00E+06,7.00E+07,7.00E+08,7.00E+09,7F1,7F10,7F11,7F12,7F2,7F3,7F4,7F5,7F6,7F7,7F8,7F9,7G1,7G10,7G11,7G12,7G2,7G3,7G4,7G5,7G6,7G7,7G8,7H1,7H10,7H11,7H12,7H3,7H4,7H6,7H7,7H9,8A1,8A10,8A11,8A12,8A2,8A3,8A4,8A5,8A6,8A7,8A8,8A9,8B1,8B10,8B11,8B12,8B2,8B3,8B4,8B5,8B6,8B7,8B8,8B9,8C1,8C10,8C11,8C2,8C3,8C4,8C5,8C6,8C7,8D1,8D11,8D12,8D2,8D4,8D5,8D7,8D9,8.00E+01,8.00E+10,8.00E+11,8.00E+12,8.00E+02,8.00E+03,8.00E+04,8.00E+05,8.00E+06,8.00E+07,8.00E+08,8.00E+09,8F1,8F10,8F11,8F12,8F2,8F3,8F4,8F5,8F6,8F7,8F8,8F9,8G1,8G10,8G11,8G12,8G2,8G3,8G4,8G5,8G6,8G7,8G8,8G9,8H1,8H3,8H4,8H5,8H6
1.01,1,B,A,B,H,H,H,B,H,H,B,H,H,H,A,A,H,B,H,B,B,B,H,H,B,H,B,H,B,H,B,H,A,B,H,H,H,H,H,A,H,A,H,H,A,H,A,A,A,B,H,B,H,B,H,H,H,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,B,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,B,H,H,B,H,B,A,H,H,H,B,B,H,H,D,H,H,A,A,H,H,B,H,A,H,B,B,H,B,B,H,B,H,A,C,H,B,B,B,H,H,H,A,B,A,H,H,H,H,B,H,H,A,A,D,C,A,B,H,B,H,B,H,H,A,H,H,A,B,H,B,B,H,H,H,A,A,H,H,H,H,H,H,B,H,B,H,H,A,H,B,H,B,H,H,B,A,B,H,H,B,A,B,H,A,A,H,A,B,A,H,A,B,B,B,H,H,B,H,B,H,A,A,A,H,A,H,B,H,H,A,B,B,H,H,B,B,H,H,H,C,H,H,B,A,A,A,B,H,B,H,A,H,A,A,H,H,A,H,H,H,B,B,B,H,H,B,H,A,A,B,A,H,H,A,A,B,A,A,H,A,B,A,A,H,A,B,H,A,H,B,H,A,B,H,H,A,H,H,H,H,H,A,H,A,H,H,A,B,A,B,A,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.02,1,B,A,B,H,H,H,B,H,H,B,H,H,H,A,A,H,B,H,B,B,B,H,H,B,H,B,H,B,A,B,H,A,B,H,D,H,H,H,A,H,H,H,H,A,H,A,A,A,B,H,B,H,B,H,H,H,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,C,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,B,H,H,B,H,B,A,H,H,H,B,B,H,H,H,H,H,A,A,H,H,B,H,A,H,B,C,H,B,B,H,B,H,A,B,H,B,B,B,H,H,A,A,B,A,H,H,H,H,B,H,H,A,A,A,B,A,B,H,B,H,B,H,H,A,H,H,A,B,H,B,B,H,H,H,A,A,H,H,H,H,H,H,B,H,B,H,H,A,H,B,H,B,H,H,B,A,B,H,H,B,A,B,H,A,A,H,D,B,A,H,A,B,B,B,H,H,B,H,B,H,A,A,A,H,A,C,B,H,H,A,B,C,H,H,B,B,H,H,H,D,H,H,B,A,A,D,B,H,B,H,A,H,A,A,H,H,A,H,H,H,B,B,B,H,H,B,H,A,A,B,A,H,H,A,A,B,A,A,H,A,B,A,A,H,A,B,H,A,H,B,H,A,B,H,D,A,H,H,H,H,H,A,H,A,H,H,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.03,1,H,A,B,H,H,H,B,H,H,B,H,H,H,A,A,H,B,H,C,B,B,A,H,B,C,B,H,B,A,B,H,A,B,H,A,H,H,H,A,H,H,C,H,A,H,A,A,A,B,H,B,H,B,H,H,H,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,B,H,H,B,H,B,A,H,D,H,B,B,H,H,H,H,H,A,A,D,H,B,H,A,H,B,H,H,B,B,H,B,A,A,B,H,B,B,B,H,C,A,A,B,A,H,H,H,H,B,H,H,A,A,A,B,A,H,H,B,H,B,H,D,A,H,H,A,B,H,B,B,H,H,H,A,A,H,H,H,H,H,H,B,H,B,D,H,A,H,B,H,B,H,H,B,A,B,H,H,B,A,B,H,A,A,H,H,B,A,H,A,B,B,B,H,H,B,H,B,H,A,A,A,H,A,B,B,H,H,A,B,H,H,H,B,B,H,H,H,A,H,H,B,A,A,H,B,H,B,H,A,H,D,A,H,H,A,H,H,H,B,B,B,H,H,B,H,A,A,B,A,H,H,A,A,B,A,A,H,A,B,A,A,H,A,B,H,A,H,B,H,H,B,H,A,A,H,H,H,H,H,A,H,A,H,H,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.04,1,H,A,B,H,C,H,B,H,H,B,H,H,H,A,A,H,B,H,H,B,B,A,H,B,C,B,H,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,H,A,A,A,B,H,B,H,B,H,H,H,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,B,H,H,B,H,B,A,H,A,H,B,B,H,H,H,H,H,A,A,A,H,B,H,A,H,B,H,H,B,B,H,B,A,A,B,H,B,B,B,H,B,D,A,B,A,H,H,H,H,B,H,H,A,D,A,B,A,H,H,H,H,B,H,A,A,H,H,H,B,H,B,B,H,H,H,A,A,H,H,H,H,H,H,C,H,B,A,H,A,H,B,H,B,H,H,B,A,B,H,H,B,D,B,H,A,A,H,H,B,A,H,A,B,B,B,H,H,B,H,B,H,A,D,A,B,A,B,B,H,H,A,B,H,H,H,B,C,H,H,H,A,H,H,B,A,A,H,B,H,B,H,A,H,H,A,H,H,--,H,H,H,B,B,B,H,H,B,H,A,A,B,A,H,H,A,A,B,A,H,H,A,B,A,A,H,A,B,H,A,H,B,H,H,B,H,A,A,H,B,H,H,H,A,H,A,H,H,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.05,1,H,A,B,H,B,H,B,H,H,B,H,C,H,A,A,H,B,H,H,B,B,A,H,B,H,B,H,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,H,A,A,A,B,A,B,H,B,H,H,B,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,C,H,H,B,H,B,A,H,A,H,B,B,H,H,H,H,H,A,D,A,H,B,B,A,H,B,H,H,B,B,H,B,A,A,B,H,B,B,B,H,B,H,A,B,A,H,H,H,A,B,H,H,A,H,A,B,A,H,H,H,H,B,H,A,A,H,H,H,B,H,B,B,H,H,H,A,H,H,H,H,H,H,H,H,H,B,A,H,D,H,B,H,B,H,H,B,A,B,H,H,B,H,B,H,A,A,H,H,B,A,H,A,B,B,H,H,H,B,A,B,H,A,H,A,B,A,B,B,H,A,A,B,H,H,H,B,H,H,H,H,A,H,H,B,A,A,H,B,H,B,H,A,H,H,A,H,H,B,A,H,H,B,B,B,H,H,B,H,H,A,B,A,A,H,A,A,B,A,H,H,A,B,A,A,H,A,B,H,A,H,B,H,H,B,H,A,A,H,B,H,H,H,A,H,A,H,H,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.06,1,H,A,B,H,B,H,B,H,H,B,H,B,H,A,A,H,B,H,H,B,B,A,H,B,H,B,H,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,H,A,A,A,B,A,B,H,B,H,H,B,H,H,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,H,H,A,A,A,H,A,H,H,H,A,B,H,B,A,H,A,H,B,B,H,H,H,H,H,A,H,A,H,B,B,A,H,B,H,H,B,B,H,B,A,D,B,H,B,B,B,H,B,H,A,B,A,H,H,H,A,B,H,H,A,H,A,B,A,H,H,D,H,B,H,A,A,H,H,H,B,H,B,B,H,H,C,A,H,A,H,H,H,H,H,H,H,B,A,H,H,H,B,B,B,H,H,B,A,B,H,H,B,H,B,A,A,H,H,H,B,A,H,A,B,B,H,H,H,B,A,B,H,A,H,A,B,A,B,B,H,A,A,B,H,H,B,B,H,H,H,H,A,D,H,B,A,A,H,B,H,B,H,A,H,H,A,A,H,B,A,H,H,B,B,B,H,H,B,H,H,A,B,A,A,H,A,D,B,A,H,H,A,C,A,A,H,A,B,H,A,D,B,H,H,B,H,A,A,H,B,H,A,H,A,H,A,H,C,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.07,1,H,A,B,H,B,H,B,H,H,H,H,B,H,A,A,H,B,A,H,B,B,A,H,B,H,B,H,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,H,A,A,A,B,D,B,H,B,H,H,B,H,D,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,B,H,A,A,A,H,A,H,H,H,A,B,H,B,A,B,A,H,B,B,H,H,H,H,H,A,H,A,H,B,B,A,H,B,H,H,B,B,H,B,A,H,H,D,B,B,B,H,B,H,A,B,A,H,H,H,A,B,H,H,A,H,A,B,A,H,H,A,H,B,H,A,A,H,H,H,B,H,B,B,H,H,B,A,H,A,H,H,A,H,H,H,H,B,A,H,H,H,B,B,B,H,H,B,A,B,H,H,B,H,B,A,A,H,H,H,B,A,H,A,B,B,A,H,H,B,A,B,H,A,H,A,B,A,B,C,H,A,A,B,H,H,B,H,H,H,H,H,A,A,H,B,A,A,H,B,H,B,H,A,H,H,A,A,H,B,A,H,H,C,B,B,C,H,B,H,H,A,B,A,A,H,A,H,B,A,H,H,A,H,A,A,H,A,C,H,A,A,B,H,H,B,H,A,A,H,B,H,A,H,A,H,A,H,B,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.08,1,H,A,B,H,B,H,H,H,H,H,H,B,H,D,A,H,B,A,H,H,B,A,H,B,H,B,D,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,D,A,A,A,B,H,B,H,B,H,H,B,C,A,B,A,B,B,H,H,H,B,H,H,A,B,H,H,B,H,B,A,B,H,H,H,B,H,A,A,A,H,A,H,H,H,A,B,D,B,A,B,A,H,B,B,H,H,H,C,H,A,H,A,H,B,B,A,H,B,H,H,B,B,H,B,A,H,H,A,B,B,B,H,B,H,A,B,A,H,H,H,A,B,H,H,A,H,D,B,A,H,H,A,H,B,H,A,A,H,H,H,B,H,B,B,H,H,B,A,H,A,H,H,A,H,H,H,H,B,A,H,H,H,B,B,B,H,H,B,A,B,H,H,B,H,B,A,A,H,H,H,B,H,H,A,B,B,A,H,H,C,D,B,H,A,H,A,B,A,B,H,H,A,A,B,H,H,B,H,H,H,H,H,A,A,H,C,A,A,H,B,H,B,H,A,H,H,A,A,H,B,A,H,H,H,B,C,B,H,B,H,H,A,H,A,A,D,A,H,B,A,H,H,A,H,A,A,H,A,H,H,A,A,B,H,H,B,H,A,A,H,B,H,A,H,A,H,A,D,B,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.09,1,H,A,B,H,B,H,H,B,H,H,H,B,H,H,A,H,B,A,H,H,B,A,H,B,H,B,A,B,A,B,H,A,B,H,A,H,H,H,A,H,H,B,H,A,H,A,A,A,B,H,B,H,B,H,H,B,B,A,B,A,B,B,H,H,H,B,H,H,A,B,A,H,B,H,B,A,B,H,H,H,B,H,A,A,A,H,A,H,H,H,A,B,A,B,A,B,A,D,B,B,H,H,H,B,H,A,H,A,H,B,B,A,H,B,H,H,B,B,H,B,A,H,H,A,B,B,B,H,B,H,A,B,A,H,H,H,A,B,H,H,A,H,H,B,A,H,H,A,H,B,H,A,A,H,H,H,B,H,B,B,H,H,B,A,H,A,C,H,A,H,H,H,H,B,A,H,H,H,B,B,B,H,H,H,A,B,H,H,B,H,B,A,A,H,A,H,B,H,H,A,B,B,A,H,H,H,H,B,H,A,H,A,B,A,B,H,H,A,A,B,H,H,C,D,H,H,H,H,A,A,H,H,A,A,H,B,H,B,H,A,H,H,A,A,H,B,A,H,H,H,B,H,B,H,B,H,H,A,D,A,A,A,A,H,B,A,H,H,A,H,A,A,H,A,H,H,A,A,B,H,H,B,H,A,A,H,B,H,A,H,D,H,A,A,B,A,B,A,B,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
1.1,1,H,A,B,H,B,H,H,B,H,H,H,B,H,H,A,H,B,A,H,H,B,A,H,B,H,B,H,B,A,C,H,A,B,H,A,H,H,C,A,H,H,B,C,A,H,A,A,A,B,H,B,H,B,H,H,B,B,A,B,A,B,B,H,H,H,B,H,H,A,B,A,H,B,H,B,A,B,H,H,H,B,H,A,A,A,H,A,H,H,H,A,B,A,B,A,B,A,A,B,B,H,H,H,B,H,A,H,A,H,B,B,H,H,B,H,H,B,B,H,B,A,H,H,A,B,B,B,H,B,H,D,B,A,H,H,H,A,B,H,H,A,H,H,B,D,H,H,A,H,B,H,A,A,H,H,H,B,H,B,B,H,H,B,H,H,A,B,H,A,H,H,H,H,B,A,H,H,H,B,B,B,H,H,H,A,B,H,H,B,H,B,A,A,H,A,H,H,H,H,A,B,B,A,H,H,H,H,B,H,A,H,A,B,A,B,H,H,A,A,B,D,H,H,A,H,H,H,H,A,A,H,H,A,A,H,B,H,B,H,A,H,H,A,A,H,B,A,H,H,H,B,H,B,H,B,H,H,A,A,A,A,A,A,H,B,A,H,H,A,H,A,A,H,A,H,H,A,A,B,H,H,B,H,A,A,H,B,H,A,H,H,H,A,A,B,A,B,H,H,H,H,A,A,H,B,H,A,H,B,H,B,H,A,B
