mk	chr.x	cM	mk.chr	start	stop	chr.y	recombinants	ord.by.chr	bin.length	bin.mid	cM.Mb
1.01	1	0	1	1	500000	1	1.11464968152866	1	500000	250001	2.22929936305732
1.02	1	1.033242029	1	500001	1000000	1	2.14968152866242	2	500000	750001	4.29936305732484
1.03	1	3.619233138	1	1000001	1500000	1	2.22929936305732	3	500000	1250001	4.45859872611465
1.04	1	5.513670974	1	1500001	2000000	1	2.86624203821656	4	500000	1750001	5.73248407643312
1.05	1	8.584081331	1	2000001	2500000	1	2.14968152866242	5	500000	2250001	4.29936305732484
1.06	1	10.70457525	1	2500001	3000000	1	2.54777070063694	6	500000	2750001	5.09554140127389
1.07	1	13.34630709	1	3000001	3500000	1	2.07006369426752	7	500000	3250001	4.14012738853503
1.08	1	15.42822366	1	3500001	4000000	1	2.54777070063694	8	500000	3750001	5.09554140127389
1.09	1	17.52476078	1	4000001	4500000	1	1.7515923566879	9	500000	4250001	3.5031847133758
1.1	1	19.45908429	1	4500001	5000000	1	1.7515923566879	10	500000	4750001	3.5031847133758
1.11	1	20.96230877	1	5000001	5500000	1	1.11464968152866	11	500000	5250001	2.22929936305732
1.12	1	21.76359175	1	5500001	6000000	1	1.91082802547771	12	500000	5750001	3.82165605095541
1.13	1	24.0997497	1	6000001	6500000	1	1.43312101910828	13	500000	6250001	2.86624203821656
1.14	1	24.6441558	1	6500001	7000000	1	0.955414012738854	14	500000	6750001	1.91082802547771
1.15	1	25.7222345	1	7000001	7500000	1	1.99044585987261	15	500000	7250001	3.98089171974522
1.16	1	27.76360952	1	7500001	8000000	1	1.35350318471338	16	500000	7750001	2.70700636942675
1.17	1	29.4608095	1	8000001	8500000	1	1.91082802547771	17	500000	8250001	3.82165605095541
1.18	1	31.00526028	1	8500001	9000000	1	1.19426751592357	18	500000	8750001	2.38853503184713
1.19	1	32.1561431	1	9000001	9500000	1	0.71656050955414	19	500000	9250001	1.43312101910828
1.2	1	32.39750964	1	9500001	10000000	1	0.159235668789809	20	500000	9750001	0.318471337579618
1.21	1	32.39750974	1	10000001	10500000	1	0	21	500000	10250001	0
1.22	1	32.39750984	1	10500001	11000000	1	0.557324840764331	22	500000	10750001	1.11464968152866
1.23	1	33.26770998	1	11000001	11500000	1	0.477707006369427	23	500000	11250001	0.955414012738854
1.24	1	33.60640872	1	11500001	12000000	1	0.238853503184713	24	500000	11750001	0.477707006369427
1.25	1	33.86591122	1	12000001	12500000	1	0.71656050955414	25	500000	12250001	1.43312101910828
1.26	1	34.47361799	1	12500001	13000000	1	0.0796178343949045	26	500000	12750001	0.159235668789809
1.27	1	34.47361809	1	13000001	13500000	1	0.0796178343949045	27	500000	13250001	0.159235668789809
1.28	1	34.63296939	1	13500001	14000000	1	0.0796178343949045	28	500000	13750001	0.159235668789809
1.29	1	34.63296949	1	14000001	14500000	1	0	29	500000	14250001	0
1.3	1	34.63296959	1	14500001	15000000	1	0.318471337579618	30	500000	14750001	0.636942675159236
1.31	1	35.59264701	1	15000001	15500000	1	0.636942675159236	31	500000	15250001	1.27388535031847
1.32	1	35.59264711	1	15500001	16000000	1	0	32	500000	15750001	0
1.33	1	35.75203869	1	16000001	16500000	1	0.159235668789809	33	500000	16250001	0.318471337579618
1.34	1	35.75203937	1	16500001	17000000	1	0	34	500000	16750001	0
1.35	1	35.75203947	1	17000001	17500000	1	0	35	500000	17250001	0
1.36	1	35.75203957	1	17500001	18000000	1	0.0796178343949045	36	500000	17750001	0.159235668789809
1.37	1	35.91139342	1	18000001	18500000	1	0.0796178343949045	37	500000	18250001	0.159235668789809
1.38	1	35.91139352	1	18500001	19000000	1	0	38	500000	18750001	0
1.39	1	35.91139362	1	19000001	20000000	1	0	39	1000000	19500001	0
1.4	1	35.91139372	1	20000001	21000000	1	0	40	1000000	20500001	0
1.41	1	35.91139382	1	21000001	22000000	1	0	41	1000000	21500001	0
1.42	1	35.91139392	1	22000001	23000000	1	0	42	1000000	22500001	0
1.43	1	35.91139402	1	23000001	24000000	1	0	43	1000000	23500001	0
1.44	1	35.91139412	1	24000001	25000000	1	0	44	1000000	24500001	0
1.45	1	35.91139422	1	25000001	26000000	1	0	45	1000000	25500001	0
1.46	1	35.91139432	1	26000001	27000000	1	0	46	1000000	26500001	0
1.47	1	35.91139442	1	27000001	28000000	1	0	47	1000000	27500001	0
1.48	1	35.91139452	1	28000001	29000000	1	0	48	1000000	28500001	0
1.49	1	35.91139462	1	29000001	30000000	1	0	49	1000000	29500001	0
1.5	1	35.91139472	1	30000001	31000000	1	0	50	1000000	30500001	0
1.51	1	35.91139482	1	31000001	31500000	1	0	51	500000	31250001	0
1.52	1	35.91139492	1	31500001	32000000	1	0	52	500000	31750001	0
1.53	1	35.91139502	1	32000001	32500000	1	0	53	500000	32250001	0
1.54	1	35.91139512	1	32500001	33000000	1	0	54	500000	32750001	0
1.55	1	35.91139522	1	33000001	33500000	1	0.398089171974522	55	500000	33250001	0.796178343949045
1.56	1	36.39026046	1	33500001	34000000	1	0.159235668789809	56	500000	33750001	0.318471337579618
1.57	1	36.70908922	1	34000001	34500000	1	0.238853503184713	57	500000	34250001	0.477707006369427
1.58	1	36.70908932	1	34500001	35000000	1	0	58	500000	34750001	0
1.59	1	36.86848033	1	35000001	35500000	1	0.159235668789809	59	500000	35250001	0.318471337579618
1.6	1	36.86848436	1	35500001	36000000	1	0	60	500000	35750001	0
1.61	1	36.86848446	1	36000001	36500000	1	0.318471337579618	61	500000	36250001	0.636942675159236
1.62	1	37.52239443	1	36500001	37000000	1	0.636942675159236	62	500000	36750001	1.27388535031847
1.63	1	38.0649507	1	37000001	37500000	1	0.557324840764331	63	500000	37250001	1.11464968152866
1.64	1	38.62499778	1	37500001	38000000	1	0.398089171974522	64	500000	37750001	0.796178343949045
1.65	1	39.37413467	1	38000001	38500000	1	1.91082802547771	65	500000	38250001	3.82165605095541
1.66	1	41.38707971	1	38500001	39000000	1	0.875796178343949	66	500000	38750001	1.7515923566879
1.67	1	41.89994693	1	39000001	39500000	1	0.796178343949045	67	500000	39250001	1.59235668789809
1.68	1	42.83429836	1	39500001	40000000	1	2.22929936305732	68	500000	39750001	4.45859872611465
1.69	1	46.09738913	1	40000001	40500000	1	2.07006369426752	69	500000	40250001	4.14012738853503
1.7	1	47.30037613	1	40500001	41000000	1	2.30891719745223	70	500000	40750001	4.61783439490446
1.71	1	51.1738319	1	41000001	41500000	1	2.70700636942675	71	500000	41250001	5.4140127388535
1.72	1	52.09364149	1	41500001	42000000	1	1.51273885350318	72	500000	41750001	3.02547770700637
1.73	1	54.30983409	1	42000001	42500000	1	2.78662420382166	73	500000	42250001	5.57324840764331
1.74	1	56.92090562	1	42500001	43000000	1	2.62738853503185	74	500000	42750001	5.25477707006369
1.75	1	59.75303956	1	43000001	43500000	1	3.26433121019108	75	500000	43250001	6.52866242038217
1.76	1	63.38663542	1	43500001	44000000	1	2.07006369426752	76	500000	43750001	4.14012738853503
1.77	1	64.11036934	1	44000001	44842349	1	1.91082802547771	77	842349	44421175.5	2.26845170526433
2.01	2	0	2	1	500000	2	0.955414012738854	1	500000	250001	1.91082802547771
2.02	2	1.02	2	500001	1000000	2	2.46815286624204	2	500000	750001	4.93630573248408
2.03	2	3.66	2	1000001	1500000	2	2.30891719745223	3	500000	1250001	4.61783439490446
2.04	2	6.89	2	1500001	2000000	2	3.10509554140127	4	500000	1750001	6.21019108280255
2.05	2	8.39	2	2000001	2500000	2	1.99044585987261	5	500000	2250001	3.98089171974522
2.06	2	10.76	2	2500001	3000000	2	2.22929936305732	6	500000	2750001	4.45859872611465
2.07	2	13.38	2	3000001	3500000	2	1.91082802547771	7	500000	3250001	3.82165605095541
2.08	2	14.3	2	3500001	4000000	2	1.43312101910828	8	500000	3750001	2.86624203821656
2.09	2	16.42	2	4000001	4500000	2	1.11464968152866	9	500000	4250001	2.22929936305732
2.1	2	16.42	2	4500001	5000000	2	0.875796178343949	10	500000	4750001	1.7515923566879
2.11	2	18.45	2	5000001	5500000	2	1.8312101910828	11	500000	5250001	3.6624203821656
2.12	2	19.51	2	5500001	6000000	2	0.477707006369427	12	500000	5750001	0.955414012738854
2.13	2	19.51	2	6000001	6500000	2	0.557324840764331	13	500000	6250001	1.11464968152866
2.14	2	20.24	2	6500001	7000000	2	0.875796178343949	14	500000	6750001	1.7515923566879
2.15	2	21.15	2	7000001	7500000	2	0.557324840764331	15	500000	7250001	1.11464968152866
2.16	2	21.7	2	7500001	8000000	2	0.71656050955414	16	500000	7750001	1.43312101910828
2.17	2	22.43	2	8000001	8500000	2	0.318471337579618	17	500000	8250001	0.636942675159236
2.18	2	22.43	2	8500001	8900000	2	0	18	400000	8700001	0
2.19	2	22.43	2	9000001	9500000	2	0	19	500000	9250001	0
2.2	2	22.43	2	9500001	10000000	2	0	20	500000	9750001	0
2.21	2	22.43	2	10000001	10500000	2	0	21	500000	10250001	0
2.22	2	22.43	2	10500001	11000000	2	0.159235668789809	26	500000	10750001	0.318471337579618
2.23	2	22.43	2	11000001	11500000	2	0	22	500000	11250001	0
2.24	2	22.43	2	11500001	12000000	2	0	23	500000	11750001	0
2.25	2	22.43	2	12000001	12500000	2	0	24	500000	12250001	0
2.26	2	22.43	2	12500001	13000000	2	0	25	500000	12750001	0
2.27	2	22.59	2	13000001	13500000	2	0	27	500000	13250001	0
2.28	2	22.59	2	13500001	14000000	2	0	28	500000	13750001	0
2.29	2	22.59	2	14000001	14500000	2	0	29	500000	14250001	0
2.3	2	22.59	2	14500001	15000000	2	0	30	500000	14750001	0
2.31	2	22.59	2	15000001	15500000	2	0	31	500000	15250001	0
